user id,Product Id,delivery status,delivery boy,Product Name,phone number
685fde4f12845216e2267f1b,44c38c0ec9acd57e1f416d7ab0df0b51,Shipped,Ravi Kumar,"Dr. Scholls Mens Work Compression Over the Calf Socks, 3 Pack",9876543210
685fde4f12845216e2267f1b,849eaac3187a8088729f259800195708,Delivered,Ravi Kumar,Allegra K Womens Seamless Fitness Pocket High Impact Sport Bra,9876543210
685fde4f12845216e2267f1b,849eaac3187a8088729f259800195708,Delivered,Ravi Kumar,Allegra K Womens Seamless Fitness Pocket High Impact Sport Bra,9876543210
685fde4f12845216e2267f1b,849eaac3187a8088729f259800195708,Delivered,Ravi Kumar,Allegra K Womens Seamless Fitness Pocket High Impact Sport Bra,9876543210
685fde4f12845216e2267f1b,849eaac3187a8088729f259800195708,Delivered,Ravi Kumar,Allegra K Womens Seamless Fitness Pocket High Impact Sport Bra,9876543210
685fdea212845216e2267f20,aeb56523e2ff749863a1505a7ca97174,Cancelled,Arjun Singh,Waterproof Hanging Travel Toiletry and Cosmetic Bag Large Makeup Organizer Portable Case for Men and Women with Sturdy Hook (Black),8765432109
685fdea212845216e2267f20,45880f5d26fa763d576b1f8cd7202703,Pending,Sanjay Das,Allegra K Notched Lapel Single Breasted Outwear Winter Trench Coat,5432109876
685fdea212845216e2267f20,45880f5d26fa763d576b1f8cd7202703,Pending,Sanjay Das,Allegra K Notched Lapel Single Breasted Outwear Winter Trench Coat,5432109876
685fdea212845216e2267f20,45880f5d26fa763d576b1f8cd7202703,Pending,Sanjay Das,Allegra K Notched Lapel Single Breasted Outwear Winter Trench Coat,5432109876
685fdea212845216e2267f20,e56007c290e50e290f0412c4c6a77f3a,Returned,Rahul Patel,Elegant Choise 2 Pairs Sneaker Care Protector Shoes Protective Anti-Crease Preventer Anti-Wrinkle Shoes Protectors Protective Anti-Shoe Toe Box Protector for Womens: 4.5-8.5 (Black),6543210987
